code_distance,p_exact,A_rounded,B_rounded,P_L_rounded,fraction_source
5,1/2000,0.3791841371672007253865659539731592690308,1.079220809759077659322900259725047879185E-10,2.846165501072099761845855435098706166281E-10,data/exact_points/p0005.json
5,3/4000,0.2335998962429119086741648337844349459566,2.722671939606040644308694073741619467196E-10,1.165527889094109272540296922044232882711E-9,data/exact_points/p00075.json
5,1/1000,0.1439555840959421903125662316695314814757,4.791454184622377735478791871316234182339E-10,3.328425371418043450972456318143030788027E-9,data/exact_points/p001.json
5,3/2000,0.05471997493655104899698738077598438539710,8.707407977066357367382675552405707509000E-10,1.591266806529567736718477299636513970567E-8,data/exact_points/p0015.json
5,1/500,0.02082636419217741500204841483462710622609,1.077785666090769638415775414525965785816E-9,5.175102366142220924659784364426258052465E-8,data/exact_points/p002.json
3,1/2000,0.8285997036075837807189850110027023807909,1.359449881090088568487733976283493487984E-7,1.640659386156273502519969095501010457300E-7,data/exact_points/d3_saved_grid.json
3,1/1000,0.6867847489562792139879321267527913783480,6.169243830463576886210453351932873430019E-7,8.982790954282404380114989012436261528886E-7,data/exact_points/d3_saved_grid.json
3,1/500,0.4722572210625385606656801227424254645740,0.000002688039540930890906012560306436892645730,0.000005691897171806141317700992487960694517702,data/exact_points/d3_saved_grid.json
3,3/1000,0.3251631976884602887762505274233033284970,0.000005876915721439068303522186203854283982736,0.00001807374193394959981405219124366683719731,data/exact_points/d3_saved_grid.json
3,1/200,0.1547982091817991869341546513857753318474,0.00001314121805139037424893482664570606416656,0.00008489257156687758423178492119002886746437,data/exact_points/d3_saved_grid.json
3,7/1000,0.07414790569224779948427791578164188211396,0.00001869699067267524799096627351776049094084,0.0002521580413919907611023561917686728158433,data/exact_points/d3_saved_grid.json
3,1/100,0.02491159568061165033073037232128659572979,0.00002170070227254472371183555220023962688425,0.0008711084809968266922888582664083381428163,data/exact_points/d3_saved_grid.json
