k,a_k_exact,e_k_exact,L_k_exact
0,1,0,0
1,77/3,0,0
2,109433/100,32/75,32/75
3,203757811/6750,2058319/4500,2009039/4500
4,7640477983/8100,3046313977/90000,1183791011/54000
5,3345046003099/121500,3010251653251/1518750,5576522343343/6075000
6,745483248873863/911250,8250007730158441/91125000,7072572702107929/243000000
7,16316109725855291383/683437500,223846253563431581/60750000,3056416241583144971/3645000000
8,2814706392354594541187/4100625000,695773372331253998653/5125781250,14000422301261560415557/656100000000
9,740868888180195867334063/38443359375,473468329549333222967513/102515625000,352460798986209480998423/820125000000
10,2424452455579323062802516617/4613203125000,1347503441280814153010426947/9226406250000,2800398004859242449492508511/590490000000000
