p,errors,kept,S_LER_sample,S_likelihood_lower,S_likelihood_upper,T_series_order10,T_over_S_point,T_over_S_likelihood_lower,T_over_S_likelihood_upper
0.0005,0,379188308301,0.0,0.0,1.8217215899588957e-11,2.846165501063441e-10,,15.623493275543053,
0.001,50,143962902536,3.473116971054177e-10,1.9523300165172775e-10,5.631720353109489e-10,3.3284253696116496e-09,9.583395541675033,5.910139639255878,17.04847716037866
0.002,263,20830759097,1.2625560056420445e-08,9.948564059168054e-09,1.5744449159032176e-08,5.175101982141852e-08,4.098908847619928,3.286937465940517,5.201858229351964
