p,T_LER_series10,T_acceptance_physical_order10,attempts_per_accepted_output
0.0001,1.6568377386824508e-12,0.8236226565321639,1.2141482413930513
0.00010033341373271156,1.6739093387386352e-12,0.8230900393809631,1.21493391020998
0.00010066793911259463,1.69115834493816e-12,0.8225559930060184,1.2157227088523361
0.00010100357984603375,1.708586621347381e-12,0.8220205147301913,1.2165146514965337
0.00010134033965177071,1.726196051897944e-12,0.821483601879237,1.217309752394797
0.00010167822226094626,1.7439885406023042e-12,0.8209452517818724,1.2181080258756438
0.00010201723141714114,1.7619660117716135e-12,0.820405461769847,1.2189094863443701
0.00010235737087641803,1.780130410236048e-12,0.8198642291780109,1.2197141482835416
0.00010269864440736251,1.7984837015675274e-12,0.8193215513443883,1.220522026253483
0.00010304105579112528,1.8170278723049666e-12,0.8187774256102454,1.221333134892779
0.00010338460882146377,1.8357649301819835e-12,0.8182318493201637,1.2221474889187707
0.00010372930730478467,1.85469690435718e-12,0.8176848198221114,1.2229651031280628
0.0001040751550601854,1.8738258456469208e-12,0.8171363344675161,1.2237859923970293
0.00010442215591949692,1.89315382676075e-12,0.8165863906113365,1.2246101716823263
0.0001047703137273259,1.9126829425393983e-12,0.8160349856121375,1.2254376560214066
0.00010511963234109779,1.932415310195464e-12,0.8154821168321621,1.2262684605330398
0.00010547011563109891,1.9523530695567186e-12,0.8149277816374071,1.2271026004178351
0.00010582176748051977,1.9724983833121718e-12,0.8143719773976971,1.227940090958768
0.00010617459178549782,1.992853437260839e-12,0.8138147014867602,1.2287809475217115
0.00010652859245516111,2.01342044056332e-12,0.8132559512823022,1.2296251855559728
0.00010688377341167096,2.0342016259961158e-12,0.8126957241660857,1.2304728205948283
0.00010724013859026578,2.0551992502088295e-12,0.812134017524003,1.231323868256072
0.00010759769193930453,2.0764155939842103e-12,0.8115708287461568,1.2321783442425578
0.00010795643742031086,2.0978529625011257e-12,0.8110061552269351,1.2330362643427544
0.00010831637900801635,2.1195136856003985e-12,0.8104399943650907,1.2338976444312981
0.00010867752069040498,2.141400118053678e-12,0.8098723435638192,1.234762500469555
0.00010903986646875713,2.1635146398352688e-12,0.8093032002308385,1.2356308485061827
0.00010940342035769431,2.1858596563970343e-12,0.8087325617784678,1.2365027046776995
0.00010976818638522303,2.2084375989462964e-12,0.808160425623708,1.2373780852090566
0.00011013416859277979,2.2312509247269084e-12,0.8075867891883225,1.238257006414215
0.00011050137103527572,2.2543021173034328e-12,0.8070116498989176,1.2391394846967267
0.00011086979778114189,2.277593686848517e-12,0.8064350051870243,1.24002553655032
0.00011123945291237375,2.3011281704334316e-12,0.8058568524891802,1.2409151785594905
0.00011161034052457684,2.3249081323219178e-12,0.8052771892470123,1.2418084274000938
0.0001119824647270118,2.3489361642672654e-12,0.8046960129073202,1.2427052998399455
0.00011235582964264053,2.3732148858127827e-12,0.8041133209221581,1.2436058127394267
0.00011273043940817112,2.3977469445955333e-12,0.8035291107489213,1.2445099830520887
0.00011310629817410404,2.4225350166535528e-12,0.8029433798504287,1.2454178278252679
0.00011348341010477808,2.447581806736471e-12,0.8023561256950085,1.2463293642007038
0.0001138617793784168,2.4728900486196355e-12,0.8017673457565838,1.2472446094151601
0.00011424141018717419,2.4984625054216997e-12,0.8011770375147584,1.2481635808010525
0.00011462230673718158,2.524301969925837e-12,0.8005851984549042,1.2490862957870792
0.000115004473248594,2.550411264904504e-12,0.7999918260682469,1.25001277189886
0.00011538791395563741,2.5767932434479046e-12,0.7993969178519541,1.2509430267595765
0.00011577263310665491,2.603450789296057e-12,0.798800471309224,1.251877078090618
0.00011615863496415428,2.6303868171746455e-12,0.7982024839493737,1.252814943712234
0.00011654592380485495,2.657604273134631e-12,0.7976029532879272,1.2537566415441912
0.0001169345039197359,2.6851061348956855e-12,0.7970018768467069,1.2547021896064332
0.00011732437961408244,2.712895412193433e-12,0.796399252153922,1.25565160601975
0.00011771555520753444,2.740975147130647e-12,0.7957950767442608,1.2566049090064466
0.0001181080350341339,2.7693484145323674e-12,0.7951893481589807,1.2575621168910225
0.00011850182344237349,2.798018322305051e-12,0.7945820639459994,1.2585232481008544
0.00011889692479524397,2.8269880117996595e-12,0.7939732216599893,1.2594883211668813
0.00011929334347028306,2.856260658178956e-12,0.7933628188624685,1.2604573547242988
0.00011969108385962363,2.8858394707888464e-12,0.7927508531218944,1.2614303675132579
0.00012009015037004294,2.915727693533967e-12,0.7921373220137571,1.2624073783795695
0.00012049054742301063,2.945928605257417e-12,0.791522223120675,1.2633884062754113
0.00012089227945473829,2.9764455201248525e-12,0.790905554032489,1.2643734702600429
0.00012129535091622831,3.0072817880128515e-12,0.7902873123463573,1.265362589500529
0.0001216997662733237,3.03844079490172e-12,0.789667495666852,1.2663557832724621
0.00012210553000675684,3.0699259632726228e-12,0.7890461016060554,1.2673530709606964
