p,T_series_order10,attempts_per_accepted_output,A_uses_exact_fixed_p_result
0.0001,1.6568377386824504e-12,1.2141482413930513,False
0.0002,1.4354682626542527e-11,1.474085384916371,False
0.0003,5.2471043236868075e-11,1.789586488334434,False
0.0005,2.846165501063441e-10,2.6372411237209836,True
0.00075,1.1655278890185185e-09,4.280823819202971,True
0.001,3.3284253696116496e-09,6.946587076007619,True
0.0015,1.591266790611601e-08,18.274862171620526,True
0.002,5.175101982141852e-08,48.01606227435558,True
